request_number,nsn,quantity,unit,mfr,delivery_days,fob,packaging_type,iso,sampling,inspection_point,skipped
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
Local file: SPE4A123T3230.PDF,SPE4A123T3230.PDF,SPE4A1-23-T-3230,"SEP 20, 2023","SEP 27, 2023",7004589335,5331012715779,Manually Check,171,Manually Check,EA,1021,ORIGIN,NO,DESTINATION,YES,O-RING                                   ,MOOG INC 94697 P/N 58532-012,"MIL-STD-2073-1E 
QUP:001  PRES MTHD:33  CLNG/DRY:1  PRESV MAT:00 
WRAP MAT:00  CUSH/DUNN MAT:00  CUSH/DUNN THKNESS:0 
UNIT CONT:BE  OPI:M 
INTRMDTE CONT:E5  INTRMDTE CONT QTY:AAA 
PACK CODE:U 
MARKING SHALL BE IN ACCORDANCE WITH MIL-STD-129. 
SPECIAL MARKING CODE:00 -00 No special marking ",MIL-STD-130N(1),True,DLA AVIATION ,AVIATION SUPPLY CHAIN ,6090 STRATHMORE  ROAD  RICHMOND VA  23237 ,Scott Brunner,DSB0035,804-279-5901,Scott.Brunner@dla.mil,N/A,"DLA AVIATION 
AVIATION SUPPLY CHAIN 
6090 STRATHMORE  ROAD 
RICHMOND VA  23237 
USA 
Name: Scott Brunner Buyer Code:DSB0035 Tel: 804-279-5901  
Email: Scott.Brunner@dla.mil"
Local file: SPE4A123T3230.PDF,SPE4A123T3230.PDF,SPE4A1-23-T-3230,"SEP 20, 2023","SEP 27, 2023",7004589335,5331012715779,Manually Check,171,Manually Check,EA,1021,ORIGIN,NO,DESTINATION,YES,O-RING                                   ,MOOG INC 94697 P/N 58532-012,"MIL-STD-2073-1E 
QUP:001  PRES MTHD:33  CLNG/DRY:1  PRESV MAT:00 
WRAP MAT:00  CUSH/DUNN MAT:00  CUSH/DUNN THKNESS:0 
UNIT CONT:BE  OPI:M 
INTRMDTE CONT:E5  INTRMDTE CONT QTY:AAA 
PACK CODE:U 
MARKING SHALL BE IN ACCORDANCE WITH MIL-STD-129. 
SPECIAL MARKING CODE:00 -00 No special marking ",MIL-STD-130N(1),True,DLA AVIATION ,AVIATION SUPPLY CHAIN ,6090 STRATHMORE  ROAD  RICHMOND VA  23237 ,Scott Brunner,DSB0035,804-279-5901,Scott.Brunner@dla.mil,N/A,"DLA AVIATION 
AVIATION SUPPLY CHAIN 
6090 STRATHMORE  ROAD 
RICHMOND VA  23237 
USA 
Name: Scott Brunner Buyer Code:DSB0035 Tel: 804-279-5901  
Email: Scott.Brunner@dla.mil"
Local file: SPE4A124T2840.PDF,SPE4A124T2840.PDF,SPE4A1-24-T-2840,"MAR 21, 2024","MAR 28, 2024",7006804239,5331011267254,5331,164,"897@ $1.79 on 20200401
882@ $5.15 on 20150730
734@ $4.32 on 20100630
567@ $4.32 on 20100603
250@ $4.09 on 20090223
250@ $4.09 on 20080721
430@ $3.70 on 20051110
665@ $3.84 on 20020726
220@ $3.82 on 20011218
30@ $3.81 on 20011025
35@ $12.95 on 20010917
100@ $3.82 on 19990205
64@ $4.95 on 19980731
148@ $1.40 on 19881121
69@ $2.31 on 19830719
",EA,417,ORIGIN,YES,DESTINATION,YES,O-RING                                   ,MOOG INC 94697 P/N 080-04273-185,"MIL-STD-2073-1E 
QUP:001  PRES MTHD:33  CLNG/DRY:1  PRESV MAT:00 
WRAP MAT:00  CUSH/DUNN MAT:00  CUSH/DUNN THKNESS:0 
UNIT CONT:BE  OPI:M 
INTRMDTE CONT:E5  INTRMDTE CONT QTY:AAA 
PACK CODE:U 
MARKING SHALL BE IN ACCORDANCE WITH MIL-STD-129. 
SPECIAL MARKING CODE:00 -00 No special marking ",MIL-STD-1916,True,DLA AVIATION ,AVIATION SUPPLY CHAIN ,6090 STRATHMORE  ROAD  RICHMOND VA  23237 ,Scott Brunner,DSB0035,804-279-5901,Scott.Brunner@dla.mil,N/A,"DLA AVIATION 
AVIATION SUPPLY CHAIN 
6090 STRATHMORE  ROAD 
RICHMOND VA  23237 
USA 
Name: Scott Brunner Buyer Code:DSB0035 Tel: 804-279-5901  
Email: Scott.Brunner@dla.mil"
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
,,,ed,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,YES,REQUIRED,True
,,,Co,,,"DESTINATION
OTHER","REQUIREMENTS FOR PROCUREMENT 
 
 
RQ",YES,NO,REQUIRED,True
